PARTICIPANT ID;GENDER
1;2
2;1
3;2
4;2
5;2
6;2
7;2
8;3
9;1
10;3
11;1
12;2
13;2
14;1
15;1
16;2
17;1
18;2
19;2
20;2
21;2
22;2
23;2
24;2
25;2
26;1
27;2
28;2
29;2
30;1
31;1
32;2
33;2
34;2
35;2
36;2
37;2
38;2
39;2
40;1
41;2
42;1
43;2
44;2
45;2
46;1
47;2
48;2
49;1
50;1
51;2
52;1
53;2
54;1
55;3
56;2
57;2
58;2
59;2
60;2
61;1
62;2
63;2
64;2
65;1
66;2
67;2
68;1
69;2
70;2
71;2
72;2
73;2
74;2
75;2
76;1
77;1
78;1
79;2
80;1
81;1
82;2
83;2
84;2
85;2
86;2
87;2
88;2
89;1
90;2
91;2
92;1
93;2
94;2
95;1
96;2
97;2
98;2
99;2
100;2
101;2
102;2
103;2
104;2
105;2
106;2
107;2
108;2
109;2
110;2
111;3
112;2
113;3
114;2
115;2
116;2
117;1
118;1
119;2
