PARTICIPANT ID;GENRE 1;GENRE 2;GENRE 3;;
1;16;18;21;;
2;1;17;21;;
3;6;16;23;;
4;16;21;23;;
5;1;18;21;;
6;7;21;23;;
7;5;21;23;;
8;10;17;21;;
9;3;14;21;;
10;7;23;24;;neofolk darkAmbient I had to pick Folk because it asked for exactly three genres but I don t actually like folk music in general only neofolk
11;1;11;24;;post nineteen seventy classical
12;3;4;11;;
13;4;6;16;;
14;4;16;22;;
15;3;10;21;;
16;3;5;21;;
17;18;19;22;;
18;4;19;21;;
19;16;23;24;;Indie
20;12;16;21;;
21;1;16;18;;
22;1;16;21;;
23;21;16;14;;
24;7;16;23;;
25;16;23;24;;kpop
26;6;16;24;;experimental
27;14;16;24;;Hardstyle
28;5;16;23;;
29;4;16;23;;
30;16;23;24;;Musical
31;1;12;18;;
32;16;18;22;;
33;6;16;18;;
34;8;21;24;;Progressive
35;4;14;23;;
36;16;18;24;;Shoegaze
37;4;14;21;;
38;1;18;23;;
39;8;16;24;;Indie Rock
40;3;4;12;;
41;1;16;21;;
42;4;18;21;;
43;16;23;24;;Indie
44;1;18;22;;
45;12;13;22;;
46;4;11;21;;
47;1;12;14;;
48;16;12;4;;
49;1;10;21;;
50;6;16;24;;Hardstyle
51;4;15;16;;
52;5;23;24;;Kpop
53;1;21;24;;Indie
54;1;5;13;;
55;1;7;21;;
56;1;4;16;;
57;4;8;12;;
58;3;12;16;;
59;1;12;16;;
60;6;8;22;;
61;4;21;22;;
62;16;22;23;;
63;16;21;23;;
64;1;6;21;;
65;8;14;23;;
66;4;6;16;;
67;16;20;23;;
68;3;12;20;;
69;4;16;22;;
70;12;20;23;;
71;4;16;18;;
72;5;18;22;;
73;8;12;16;;
74;2;4;5;;
75;3;4;12;;
76;1;4;13;;
77;6;18;24;;Dancehall and Afrobeat 
78;4;5;14;;
79;4;14;21;;
80;4;21;23;;
81;1;6;8;;
82;5;14;16;;
83;1;17;21;;
84;16;18;22;;
85;13;16;18;;
86;6;16;22;;
87;16;18;23;;
88;4;11;12;;
89;4;15;16;;
90;14;16;18;;
91;12;13;16;;
92;7;16;18;;
93;4;11;12;;
94;14;16;23;;
95;9;14;21;;
96;4;23;24;;Celtic music
97;4;16;22;;
98;4;12;19;;
99;15;16;22;;
100;5;6;16;;
101;3;4;12;;
102;12;14;22;;
103;13;16;22;;
104;6;10;21;;
105;5;10;21;;
106;3;15;16;;
107;14;16;22;;
108;4;9;20;;
109;4;8;14;;
110;4;21;23;;
111;1;14;21;;
112;5;11;16;;
113;4;21;23;;
114;1;21;24;;Modern Musical
115;16;18;22;;
116;4;6;23;;
117;4;6;21;;
118;1;6;7;;
119;1;21;24;;Disco
